Incident Number,Property Code,Property Use Description,Property Use Category,Incident Code,Primary Type Category,Sub Type Category,Aid Given or Received,Incident Date and Time,First Unit Dispatched,First Unit Arrived,All Units Clear,Total First Unit Response Time,Total Time Committed,shift,Incident Location Area,Number of Apparatus Assigned,Number of Personnel Assigned,Property Value,Property Lost,Contents Value,Contents Lost
16-0000013,419,1- or 2-family dwelling.,Residential,700,No Hazard,ALARM,Automatic Aid Received,42370.40307,42370.40161,42370.40855,42370.41594,0:10:00,0.014328704,C,6,2,7,0,0,0,0
16-0000014,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.47427,42370.47384,42370.478,42370.48382,0:05:59,0.009976852,C,3,2,7,0,0,0,0
16-0000015,449,"Hotel/Motel, commercial.",Residential,745,No Hazard,ALARM,None,42370.47898,42370.47806,42370.48444,42370.49053,0:09:12,0.012476852,C,1,2,8,0,0,0,0
16-0000016,500,"Mercantile, business, other.",Business,321,Medical,EMS,None,42370.55317,42370.55235,42370.55491,42370.56414,0:03:41,0.011793981,C,9,1,5,0,0,0,0
16-0000017,960,"Street, other.",Outside,352,Hazard,MVA,Automatic Aid Given,42370.60293,42370.60263,42370.60576,42370.65098,0:04:31,0.048356481,C,MVFD,3,8,0,0,0,0
16-0000018,962,"Residential street, road.",Outside,321,Medical,EMS,None,42370.61377,42370.61358,42370.6152,42370.62486,0:02:20,0.011284722,C,9,1,5,0,0,0,0
16-0000019,429,Multifamily dwelling.,Residential,741,No Hazard,ALARM,None,42370.65809,42370.65716,42370.66235,42370.69328,0:07:28,0.036111111,C,7,4,12,0,0,0,0
16-0000020,161,Restaurant or cafeteria.,Assembly,321,Medical,EMS,None,42370.70163,42370.7006,42370.70469,42370.71476,0:05:53,0.014155093,C,9,1,5,0,0,0,0
16-0000021,419,1- or 2-family dwelling.,Residential,114,Fire,STRUCTURE,Mutual Aid Received,42370.74111,42370.74052,42370.74433,42370.78683,0:05:29,0.04630787,C,4,6,21,131000,0,50000,1000
16-0000022,161,Restaurant or cafeteria.,Assembly,311,Medical,EMS,None,42370.74073,42370.74047,42370.74361,42370.74941,0:04:31,0.008935185,C,4,1,5,0,0,0,0
16-0000023,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42370.74263,42370.74228,42370.74926,42370.75326,0:10:03,0.010983796,C,3,1,3,0,0,0,0
16-0000024,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42370.75507,42370.75486,42370.76019,42370.76931,0:07:40,0.014444444,C,9,1,3,0,0,0,0
16-0000025,300,"Health care, detention, and correction.",Health Care or Detention,321,Medical,EMS,None,42370.79507,42370.79493,42370.79705,42370.81537,0:03:03,0.020439815,C,2,1,4,0,0,0,0
16-0000026,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,42370.79992,42370.79969,42370.80308,42370.82135,0:04:53,0.021666667,C,4,1,5,0,0,0,0
16-0000027,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.88065,42370.88053,42370.88497,42370.8887,0:06:23,0.008171296,C,5,2,7,0,0,0,0
16-0000028,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.93547,42370.93524,42370.93894,42370.9505,0:05:19,0.01525463,C,3,1,4,0,0,0,0
16-0000030,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.98632,42370.98583,42370.99015,42370.99831,0:06:13,0.012476852,C,4,1,5,0,0,0,0
16-0000031,419,1- or 2-family dwelling.,Residential,743,No Hazard,ALARM,None,42371.01236,42371.01163,42371.01728,42371.02215,0:08:08,0.010520833,C,8,1,4,0,0,0,0
16-0000032,UUU,Undetermined.,Other,611,No Hazard,GOOD INTENT,Automatic Aid Given,42371.01977,42371.01929,,42371.02394,,0.004641204,C,APFD,2,5,0,0,0,0
16-0000033,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42371.12565,42371.12494,42371.13084,42371.13947,0:08:30,0.014525463,C,7,1,4,0,0,0,0
16-0000034,429,Multifamily dwelling.,Residential,735,No Hazard,ALARM,None,42371.33896,42371.33779,42371.34271,42371.35395,0:07:05,0.016157407,B,3,2,7,0,0,0,0
16-0000035,599,Business office.,Business,512,No Hazard,ASSIST,None,42371.36931,42371.36833,42371.36939,42371.37045,0:01:31,0.002118056,B,4,1,5,0,0,0,0
16-0000036,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,Automatic Aid Received,42371.44705,42371.44684,,42371.45356,,0.006724537,B,6,2,9,0,0,0,0
16-0000037,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42371.52095,42371.5197,42371.52361,42371.5248,0:05:38,0.005104167,B,1,2,7,0,0,0,0
16-0000038,599,Business office.,Business,321,Medical,EMS,None,42371.53178,42371.53128,42371.53372,42371.54623,0:03:30,0.01494213,B,5,1,4,0,0,0,0
16-0000039,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42371.54809,42371.54764,42371.55061,42371.55648,0:04:17,0.008842593,B,4,1,5,0,0,0,0
16-0000040,300,"Health care, detention, and correction.",Health Care or Detention,321,Medical,EMS,None,42371.54969,42371.54958,42371.5539,42371.56488,0:06:13,0.015300926,B,3,1,4,0,0,0,0
16-0000041,419,1- or 2-family dwelling.,Residential,733,No Hazard,ALARM,None,42371.59185,42371.59064,42371.59572,42371.6063,0:07:19,0.015659722,B,3,2,7,0,0,0,0
16-0000042,963,Street or road in commercial area.,Outside,322,Hazard,MVA,None,42371.61837,42371.61765,42371.62078,42371.65617,0:04:30,0.038518519,B,2,2,9,0,0,0,0
16-0000043,215,"High school, junior high, middle school.",Educational,743,No Hazard,ALARM,None,42371.63023,42371.62951,42371.63084,42371.64132,0:01:55,0.011805556,B,8,1,4,0,0,0,0
16-0000044,400,"Residential, other.",Residential,531,No Hazard,ASSIST,Automatic Aid Received,42371.62524,42371.62388,42371.62889,42371.64118,0:07:13,0.017303241,B,9,7,26,0,0,0,0
16-0000045,419,1- or 2-family dwelling.,Residential,561,Fire,OTHER,None,42371.65388,42371.65318,42371.6542,42371.65689,0:01:28,0.003703704,B,3,1,3,0,0,0,0
16-0000046,419,1- or 2-family dwelling.,Residential,561,Fire,OTHER,None,42371.65721,42371.65697,42371.65728,42371.66164,0:00:27,0.004675926,B,3,1,3,0,0,0,0
16-0000047,961,Highway or divided highway.,Outside,611,No Hazard,GOOD INTENT,None,42371.68707,42371.68637,42371.68939,42371.68995,0:04:21,0.003587963,B,3,1,4,0,0,0,0
16-0000048,500,"Mercantile, business, other.",Business,311,Medical,EMS,None,42371.68764,42371.68753,42371.69095,42371.6938,0:04:55,0.006261574,B,4,1,5,0,0,0,0
16-0000049,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,Automatic Aid Received,42371.70854,42371.70795,42371.71378,42371.7194,0:08:24,0.011446759,B,7,4,11,0,0,0,0
16-0000050,300,"Health care, detention, and correction.",Health Care or Detention,733,No Hazard,ALARM,None,42371.76264,42371.76182,42371.7644,42371.8034,0:03:43,0.041585648,B,3,4,13,0,0,0,0
16-0000051,419,1- or 2-family dwelling.,Residential,424,Special Ops,HAZARDOUS MATERIAL,None,42371.81102,42371.81003,42371.8145,42371.87269,0:06:26,0.062650463,B,4,3,5,0,0,0,0
16-0000052,599,Business office.,Business,561,Fire,OTHER,None,42371.82241,42371.82215,42371.82765,42371.84089,0:07:55,0.018738426,B,3,3,9,0,0,0,0
16-0000053,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42371.9272,42371.92685,42371.92909,42371.94147,0:03:13,0.014618056,B,8,1,4,0,0,0,0
16-0000054,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42371.94106,42371.94071,42371.94321,42371.95388,0:03:36,0.013171296,B,9,1,5,0,0,0,0
16-0000055,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,None,42371.95037,42371.94922,,42371.9524,,0.003171296,B,4,1,5,0,0,0,0
16-0000056,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42371.99146,42371.99132,42371.99421,42371.99942,0:04:10,0.008101852,B,2,1,4,0,0,0,0
16-0000057,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,None,42372.01372,42372.01291,42372.01655,42372.02589,0:05:15,0.012986111,B,7,3,9,0,0,0,0
16-0000058,419,1- or 2-family dwelling.,Residential,352,Hazard,MVA,None,42372.01516,42372.01487,42372.01712,42372.11068,0:03:14,0.095810185,B,4,4,14,0,0,0,0
16-0000059,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42372.08927,42372.0889,42372.09168,42372.10891,0:04:00,0.020011574,B,4,1,4,0,0,0,0
16-0000060,511,Convenience store.,Business,321,Medical,EMS,None,42372.09671,42372.09659,42372.09823,42372.11218,0:02:22,0.015590278,B,2,1,4,0,0,0,0
16-0000062,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,Automatic Aid Received,42372.101,42372.1008,42372.1063,42372.114,0:07:55,0.013206019,B,6,1,4,0,0,0,0
16-0000063,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42372.15125,42372.151,42372.15473,42372.16853,0:05:23,0.017534722,B,4,1,5,0,0,0,0
16-0000064,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42372.37399,42372.37355,42372.37727,42372.38185,0:05:21,0.008298611,C,4,1,4,0,0,0,0
16-0000065,131,"Church, mosque.",Assembly,321,Medical,EMS,None,42372.43369,42372.43317,42372.43617,42372.44491,0:04:19,0.011736111,C,9,1,5,0,0,0,0
16-0000066,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42372.46883,42372.46813,42372.47221,42372.47465,0:05:53,0.006527778,C,3,2,7,0,0,0,0
16-0000067,429,Multifamily dwelling.,Residential,611,No Hazard,GOOD INTENT,None,42372.49007,42372.48954,,42372.49201,,0.002476852,C,3,1,3,0,0,0,0
16-0000068,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,None,42372.58709,42372.58653,,42372.58887,,0.002337963,C,2,2,7,0,0,0,0
16-0000069,419,1- or 2-family dwelling.,Residential,412,Special Ops,HAZARDOUS MATERIAL,None,42372.5908,42372.59079,42372.59263,42372.63742,0:02:39,0.046631944,C,3,1,4,0,0,0,0
16-0000070,419,1- or 2-family dwelling.,Residential,550,No Hazard,ASSIST,None,42372.61286,42372.61286,42372.61578,42372.63749,0:04:12,0.02462963,C,4,1,4,0,0,0,0
16-0000071,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,42372.62326,42372.62277,42372.62728,42372.63729,0:06:30,0.014525463,C,4,1,4,0,0,0,0
16-0000072,215,"High school, junior high, middle school.",Educational,300,Medical,EMS,None,42372.62581,42372.62556,42372.62913,42372.63005,0:05:09,0.004490741,C,2,2,7,0,0,0,0
16-0000074,960,"Street, other.",Outside,324,Hazard,MVA,None,42372.65365,42372.65355,42372.65684,42372.66799,0:04:44,0.01443287,C,4,2,7,0,0,0,0
16-0000075,519,"Food and beverage sales, grocery store.",Business,331,No Hazard,ASSIST,None,42372.70966,42372.70833,42372.71243,42372.71491,0:05:54,0.006574074,C,1,1,4,0,0,0,0
16-0000076,419,1- or 2-family dwelling.,Residential,520,No Hazard,ASSIST,None,42372.75598,42372.75407,42372.75918,42372.79944,0:07:21,0.04537037,C,8,4,11,0,0,0,0
16-0000077,961,Highway or divided highway.,Outside,324,Hazard,MVA,Automatic Aid Given,42372.83907,42372.83854,42372.84528,42372.94769,0:09:42,0.109143519,C,MVFD,4,11,0,0,0,0
16-0000078,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,None,42372.89676,42372.89535,42372.89957,42372.91221,0:06:05,0.016863426,C,4,1,4,0,0,0,0
16-0000079,962,"Residential street, road.",Outside,413,Special Ops,HAZARDOUS MATERIAL,None,42372.90918,42372.90867,42372.91109,42372.9178,0:03:29,0.009131944,C,5,1,4,0,0,0,0
16-0000080,UUU,Undetermined.,Other,300,Medical,EMS,Automatic Aid Given,42372.91135,42372.91045,42372.91584,42372.92468,0:07:46,0.014224537,C,FWFD,2,7,0,0,0,0
16-0000081,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42372.9306,42372.93021,42372.93388,42372.94692,0:05:17,0.016712963,C,1,1,3,0,0,0,0
16-0000082,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42372.95286,42372.95194,42372.9548,42372.96442,0:04:07,0.012476852,C,CSFD,1,4,0,0,0,0
16-0000083,419,1- or 2-family dwelling.,Residential,341,Special Ops,TECH RESCUE,None,42373.14956,42373.14919,42373.15502,42373.15872,0:08:24,0.009525463,C,8,2,4,0,0,0,0
16-0000084,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42373.258,42373.25772,42373.26228,42373.27492,0:06:34,0.017199074,C,2,1,3,0,0,0,0
16-0000085,500,"Mercantile, business, other.",Business,745,No Hazard,ALARM,None,42373.3877,42373.38631,42373.38959,42373.39657,0:04:44,0.010266204,A,1,3,9,0,0,0,0
16-0000086,599,Business office.,Business,311,Medical,EMS,None,42373.43301,42373.43229,42373.43797,42373.44603,0:08:11,0.013738426,A,4,1,4,0,0,0,0
16-0000087,419,1- or 2-family dwelling.,Residential,735,No Hazard,ALARM,None,42373.43784,42373.43725,42373.44222,42373.45102,0:07:10,0.013773148,A,6,2,8,0,0,0,0
16-0000089,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.44565,42373.44498,42373.44868,42373.45706,0:05:20,0.012083333,A,4,1,4,0,0,0,0
16-0000090,500,"Mercantile, business, other.",Business,745,No Hazard,ALARM,None,42373.46483,42373.46404,42373.46721,42373.48067,0:04:34,0.016631944,A,1,3,9,0,0,0,0
16-0000091,213,Elementary school.,Educational,321,Medical,EMS,None,42373.50108,42373.50061,42373.50398,42373.51431,0:04:51,0.01369213,A,2,1,4,0,0,0,0
16-0000092,215,"High school, junior high, middle school.",Educational,740,No Hazard,ALARM,None,42373.50506,42373.50399,42373.508,42373.51552,0:05:46,0.011527778,A,8,4,12,0,0,0,0
16-0000093,599,Business office.,Business,735,No Hazard,ALARM,None,42373.53038,42373.52963,42373.53438,42373.54954,0:06:50,0.019907407,A,4,2,8,0,0,0,0
16-0000094,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.55417,42373.55396,42373.55811,42373.56649,0:05:59,0.012534722,A,1,1,4,0,0,0,0
16-0000095,110,"Fixed-use recreation places, other.",Assembly,321,Medical,EMS,Automatic Aid Given,42373.58196,42373.58127,42373.584,42373.59277,0:03:56,0.011493056,A,MVFD,1,4,0,0,0,0
16-0000096,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.59669,42373.59624,42373.59975,42373.61775,0:05:03,0.021516204,A,1,1,4,0,0,0,0
16-0000097,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,Mutual Aid Received,42373.60372,42373.60338,42373.60791,42373.6152,0:06:31,0.01181713,A,3,1,4,0,0,0,0
16-0000100,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42373.77413,42373.77324,42373.77735,42373.78424,0:05:55,0.01099537,A,7,1,3,0,0,0,0
16-0000101,100,"Assembly, other.",Assembly,321,Medical,EMS,None,42373.78487,42373.78431,42373.78749,42373.79411,0:04:35,0.009803241,A,4,1,4,0,0,0,0
16-0000102,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.79965,42373.79933,42373.802,42373.81558,0:03:51,0.01625,A,2,1,4,0,0,0,0
16-0000103,419,1- or 2-family dwelling.,Residential,442,Hazard,HAZARDOUS CONDITION,Automatic Aid Received,42373.83162,42373.83125,42373.83509,42373.84851,0:05:32,0.017256944,A,5,6,21,0,0,0,0
16-0000104,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.87106,42373.87093,42373.87346,42373.88177,0:03:39,0.010844907,A,9,1,5,0,0,0,0
16-0000105,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42373.87422,42373.87353,42373.87837,42373.89149,0:06:58,0.017962963,A,8,1,4,0,0,0,0
16-0000106,311,"Nursing homes licensed by the State,.",Health Care or Detention,412,Special Ops,HAZARDOUS MATERIAL,None,42373.90088,42373.90054,42373.90311,42373.94678,0:03:42,0.046238426,A,3,5,18,0,0,0,0
16-0000107,419,1- or 2-family dwelling.,Residential,441,Hazard,HAZARDOUS CONDITION,None,42373.92568,42373.9248,42373.92828,42373.93962,0:05:00,0.014814815,A,4,2,8,0,0,0,0
16-0000108,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,42374.01078,42374.01032,42374.0135,42374.04516,0:04:34,0.034837963,A,4,1,4,0,0,0,0
16-0000110,419,1- or 2-family dwelling.,Residential,520,No Hazard,ASSIST,None,42374.02942,42374.02887,42374.0323,42374.06072,0:04:57,0.031851852,A,6,3,10,0,0,0,0
16-0000111,419,1- or 2-family dwelling.,Residential,116,Fire,STRUCTURE,Automatic Aid Received,42374.06216,42374.06175,42374.06659,42374.09645,0:06:58,0.034699074,A,4,6,23,342257,300,34000,0
16-0000112,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42374.10725,42374.10688,42374.11081,42374.12103,0:05:40,0.014155093,A,8,1,4,0,0,0,0
16-0000113,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42374.18714,42374.18674,42374.19052,42374.20138,0:05:27,0.014641204,A,1,1,4,0,0,0,0
16-0000114,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42374.21546,42374.21502,42374.21924,42374.22731,0:06:04,0.012291667,A,3,1,4,0,0,0,0
16-0000115,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42374.33664,42374.33582,42374.33882,42374.37497,0:04:19,0.039143519,C,6,2,8,0,0,0,0
16-0000116,963,Street or road in commercial area.,Outside,324,Hazard,MVA,None,42374.37969,42374.37931,42374.38258,42374.39301,0:04:43,0.013703704,C,1,2,7,0,0,0,0
16-0000117,311,"Nursing homes licensed by the State,.",Health Care or Detention,311,Medical,EMS,None,42374.4228,42374.42264,42374.42844,42374.43122,0:08:21,0.008576389,C,3,1,4,0,0,0,0
16-0000118,419,1- or 2-family dwelling.,Residential,743,No Hazard,ALARM,None,42374.43497,42374.43383,42374.43787,42374.44742,0:05:49,0.013587963,C,5,2,8,0,0,0,0
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,42374.50428,42374.50343,42374.50652,42374.53054,0:04:27,0.027118056,C,2,6,18,13000,13000,1000,1000
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,42374.50428,42374.50343,42374.50652,42374.53054,0:04:27,0.027118056,C,2,6,18,20000,1000,0,0
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,42374.50428,42374.50343,42374.50652,42374.53054,0:04:27,0.027118056,C,2,6,18,19000,5000,0,0
16-0000120,200,"Educational, other.",Educational,321,Medical,EMS,None,42374.52426,42374.52395,42374.52576,42374.54,0:02:37,0.016053241,C,9,1,5,0,0,0,0
16-0000121,599,Business office.,Business,743,No Hazard,ALARM,None,42374.52696,42374.52611,42374.52927,42374.53281,0:04:33,0.006701389,C,8,3,12,0,0,0,0
16-0000123,183,Movie theater.,Assembly,321,Medical,EMS,None,42374.58919,42374.58891,42374.59262,42374.60089,0:05:20,0.011979167,C,9,1,5,0,0,0,0
16-0000124,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42374.59162,42374.59141,42374.59618,42374.6081,0:06:52,0.016689815,C,9,1,3,0,0,0,0
16-0000126,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42374.60343,42374.60282,42374.60714,42374.61978,0:06:13,0.016956019,C,7,2,7,0,0,0,0
16-0000127,960,"Street, other.",Outside,322,Hazard,MVA,None,42374.60471,42374.60446,42374.60572,42374.63127,0:01:49,0.02681713,C,9,3,11,0,0,0,0
16-0000128,429,Multifamily dwelling.,Residential,740,No Hazard,ALARM,None,42374.61019,42374.60965,42374.61406,42374.6167,0:06:21,0.007048611,C,7,3,12,0,0,0,0
16-0000130,961,Highway or divided highway.,Outside,322,Hazard,MVA,Automatic Aid Given,42374.6356,42374.63451,42374.64112,42374.6598,0:09:31,0.025289352,C,RDU,4,12,0,0,0,0
16-0000131,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42374.64116,42374.64068,42374.64377,42374.66031,0:04:27,0.01962963,C,3,2,8,0,0,0,0
16-0000132,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42374.71035,42374.71006,42374.71332,42374.72061,0:04:42,0.010555556,C,5,1,4,0,0,0,0
16-0000133,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42374.71251,42374.71208,42374.71538,42374.73306,0:04:45,0.020972222,C,2,1,4,0,0,0,0
16-0000134,519,"Food and beverage sales, grocery store.",Business,622,No Hazard,GOOD INTENT,None,42374.71709,42374.71619,42374.71907,42374.7277,0:04:09,0.01150463,C,6,4,13,0,0,0,0
16-0000135,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42374.72704,42374.72678,42374.73075,42374.7397,0:05:43,0.012916667,C,4,1,4,0,0,0,0
16-0000136,961,Highway or divided highway.,Outside,321,Medical,EMS,Automatic Aid Given,42374.76938,42374.76867,42374.77318,42374.7837,0:06:30,0.015034722,C,MVFD,2,7,0,0,0,0
16-0000138,963,Street or road in commercial area.,Outside,322,Hazard,MVA,None,42374.79003,42374.78966,42374.79264,42374.8351,0:04:17,0.045439815,C,3,2,8,0,0,0,0
16-0000139,429,Multifamily dwelling.,Residential,611,No Hazard,GOOD INTENT,None,42374.81214,42374.81189,42374.81294,42374.81388,0:01:31,0.001990741,C,5,1,4,0,0,0,0
16-0000140,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,42374.82679,42374.82649,42374.8303,42374.84777,0:05:29,0.021273148,C,4,1,4,0,0,0,0
16-0000141,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42374.96186,42374.96177,42374.96446,42374.97056,0:03:52,0.008784722,C,2,2,8,0,0,0,0
16-0000142,429,Multifamily dwelling.,Residential,531,No Hazard,ASSIST,None,42375.01962,42375.0188,42375.02334,42375.0533,0:06:33,0.034502315,C,2,4,13,0,0,0,0
16-0000143,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42375.05788,42375.05773,42375.06138,42375.06983,0:05:15,0.012094907,C,9,1,5,0,0,0,0
16-0000144,559,Recreational stores.,Business,412,Special Ops,HAZARDOUS MATERIAL,None,42375.29138,42375.2899,42375.29419,42375.3572,0:06:11,0.067303241,C,2,4,18,0,0,0,0
16-0000145,UUU,Undetermined.,Other,352,Hazard,MVA,Automatic Aid Given,42375.29767,42375.29729,42375.29936,42375.33795,0:02:59,0.040659722,C,MVFD,2,7,0,0,0,0
16-0000146,960,"Street, other.",Outside,311,Medical,EMS,None,42375.30008,42375.29964,42375.30363,42375.31372,0:05:45,0.014074074,C,4,2,8,0,0,0,0
16-0000147,100,"Assembly, other.",Assembly,531,No Hazard,ASSIST,None,42375.31646,42375.31473,42375.31969,42375.35058,0:07:08,0.035844907,A,5,3,14,0,0,0,0
16-0000148,161,Restaurant or cafeteria.,Assembly,441,Hazard,HAZARDOUS CONDITION,None,42375.32413,42375.32325,42375.32595,42375.33969,0:03:53,0.016435185,A,3,2,8,0,0,0,0
16-0000149,300,"Health care, detention, and correction.",Health Care or Detention,741,No Hazard,ALARM,None,42375.34181,42375.34046,42375.34516,42375.35009,0:06:46,0.00962963,A,4,4,14,0,0,0,0
16-0000151,131,"Church, mosque.",Assembly,321,Medical,EMS,None,42375.38584,42375.38559,42375.3878,42375.39098,0:03:11,0.005393519,A,4,3,14,0,0,0,0
16-0000152,UUU,Undetermined.,Other,300,Medical,EMS,Automatic Aid Given,42375.4123,42375.41179,42375.41523,42375.41597,0:04:57,0.004178241,A,FWFD,2,8,0,0,0,0
16-0000153,419,1- or 2-family dwelling.,Residential,153,Fire,OTHER,None,42375.41525,42375.41366,42375.41786,42375.42463,0:06:03,0.010972222,A,7,4,14,0,0,0,0
16-0000154,965,Vehicle parking area.,Outside,311,Medical,EMS,None,42375.42868,42375.42796,42375.43201,42375.43679,0:05:50,0.008831019,A,2,1,4,0,0,0,0
16-0000156,141,Athletic or health club.,Assembly,321,Medical,EMS,None,42375.43454,42375.43336,42375.43744,42375.44664,0:05:53,0.013287037,A,5,1,4,0,0,0,0
16-0000157,599,Business office.,Business,321,Medical,EMS,None,42375.44543,42375.44458,42375.44775,42375.45727,0:04:34,0.012685185,A,3,1,4,0,0,0,0
16-0000158,599,Business office.,Business,743,No Hazard,ALARM,None,42375.44948,42375.44847,42375.45214,42375.46502,0:05:17,0.016550926,A,1,2,8,0,0,0,0
16-0000159,599,Business office.,Business,321,Medical,EMS,None,42375.49369,42375.49289,42375.49571,42375.50545,0:04:03,0.01255787,A,5,1,4,0,0,0,0
16-0000160,449,"Hotel/Motel, commercial.",Residential,745,No Hazard,ALARM,None,42375.49898,42375.49791,42375.50269,42375.50399,0:06:53,0.006087963,A,3,4,14,0,0,0,0
16-0000161,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42375.66042,42375.66002,42375.66319,42375.67211,0:04:34,0.012083333,A,5,1,4,0,0,0,0
