Incident Number,Property Code,Property Use Description,Property Use Category,Incident Code,Primary Type Category,Sub Type Category,Aid Given or Received,Incident Date and Time,First Unit Dispatched,First Unit Arrived,All Units Clear,Total First Unit Response Time,Total Time Committed,shift,Incident Location Area,Number of Apparatus Assigned,Number of Personnel Assigned, Property Value , Property Lost , Contents Value , Contents Lost 
16-0000047,961,Highway or divided highway.,Outside,611,No Hazard,GOOD INTENT,None,1/2/2016 16:29,1/2/2016 16:28,1/2/2016 16:32,1/2/2016 16:33,0:04:21,0:05:10,B,3,1,4, $-   , $-   , $-   , $-   
16-0000048,500,"Mercantile, business, other.",Business,311,Medical,EMS,None,1/2/2016 16:30,1/2/2016 16:30,1/2/2016 16:34,1/2/2016 16:39,0:04:55,0:09:01,B,4,1,5, $-   , $-   , $-   , $-   
16-0000049,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,Automatic Aid Received,1/2/2016 17:00,1/2/2016 16:59,1/2/2016 17:07,1/2/2016 17:15,0:08:24,0:16:29,B,7,4,11, $-   , $-   , $-   , $-   
16-0000050,300,"Health care, detention, and correction.",Health Care or Detention,733,No Hazard,ALARM,None,1/2/2016 18:18,1/2/2016 18:17,1/2/2016 18:20,1/2/2016 19:16,0:03:43,0:59:53,B,3,4,13, $-   , $-   , $-   , $-   
16-0000051,419,1- or 2-family dwelling.,Residential,424,Special Ops,HAZARDOUS MATERIAL,None,1/2/2016 19:27,1/2/2016 19:26,1/2/2016 19:32,1/2/2016 20:56,0:06:26,1:30:13,B,4,3,5, $-   , $-   , $-   , $-   
16-0000052,599,Business office.,Business,561,Fire,OTHER,None,1/2/2016 19:44,1/2/2016 19:43,1/2/2016 19:51,1/2/2016 20:10,0:07:55,0:26:59,B,3,3,9, $-   , $-   , $-   , $-   
16-0000053,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/2/2016 22:15,1/2/2016 22:14,1/2/2016 22:17,1/2/2016 22:35,0:03:13,0:21:03,B,8,1,4, $-   , $-   , $-   , $-   
16-0000054,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/2/2016 22:35,1/2/2016 22:34,1/2/2016 22:38,1/2/2016 22:53,0:03:36,0:18:58,B,9,1,5, $-   , $-   , $-   , $-   
16-0000055,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,None,1/2/2016 22:48,1/2/2016 22:46,,1/2/2016 22:51,,0:04:34,B,4,1,5, $-   , $-   , $-   , $-   
16-0000056,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/2/2016 23:47,1/2/2016 23:47,1/2/2016 23:51,1/2/2016 23:59,0:04:10,0:11:40,B,2,1,4, $-   , $-   , $-   , $-   
16-0000057,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,None,1/3/2016 0:19,1/3/2016 0:18,1/3/2016 0:23,1/3/2016 0:37,0:05:15,0:18:42,B,7,3,9, $-   , $-   , $-   , $-   
16-0000058,419,1- or 2-family dwelling.,Residential,352,Hazard,MVA,None,1/3/2016 0:21,1/3/2016 0:21,1/3/2016 0:24,1/3/2016 2:39,0:03:14,2:17:58,B,4,4,14, $-   , $-   , $-   , $-   
16-0000059,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/3/2016 2:08,1/3/2016 2:08,1/3/2016 2:12,1/3/2016 2:36,0:04:00,0:28:49,B,4,1,4, $-   , $-   , $-   , $-   
16-0000060,511,Convenience store.,Business,321,Medical,EMS,None,1/3/2016 2:19,1/3/2016 2:19,1/3/2016 2:21,1/3/2016 2:41,0:02:22,0:22:27,B,2,1,4, $-   , $-   , $-   , $-   
16-0000062,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,Automatic Aid Received,1/3/2016 2:25,1/3/2016 2:25,1/3/2016 2:33,1/3/2016 2:44,0:07:55,0:19:01,B,6,1,4, $-   , $-   , $-   , $-   
16-0000063,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/3/2016 3:37,1/3/2016 3:37,1/3/2016 3:42,1/3/2016 4:02,0:05:23,0:25:15,B,4,1,5, $-   , $-   , $-   , $-   
16-0000064,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,1/3/2016 8:58,1/3/2016 8:57,1/3/2016 9:03,1/3/2016 9:09,0:05:21,0:11:57,C,4,1,4, $-   , $-   , $-   , $-   
16-0000065,131,"Church, mosque.",Assembly,321,Medical,EMS,None,1/3/2016 10:24,1/3/2016 10:23,1/3/2016 10:28,1/3/2016 10:40,0:04:19,0:16:54,C,9,1,5, $-   , $-   , $-   , $-   
16-0000066,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,1/3/2016 11:15,1/3/2016 11:14,1/3/2016 11:19,1/3/2016 11:23,0:05:53,0:09:24,C,3,2,7, $-   , $-   , $-   , $-   
16-0000067,429,Multifamily dwelling.,Residential,611,No Hazard,GOOD INTENT,None,1/3/2016 11:45,1/3/2016 11:44,,1/3/2016 11:48,,0:03:34,C,3,1,3, $-   , $-   , $-   , $-   
16-0000068,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,None,1/3/2016 14:05,1/3/2016 14:04,,1/3/2016 14:07,,0:03:22,C,2,2,7, $-   , $-   , $-   , $-   
16-0000069,419,1- or 2-family dwelling.,Residential,412,Special Ops,HAZARDOUS MATERIAL,None,1/3/2016 14:10,1/3/2016 14:10,1/3/2016 14:13,1/3/2016 15:17,0:02:39,1:07:09,C,3,1,4, $-   , $-   , $-   , $-   
16-0000070,419,1- or 2-family dwelling.,Residential,550,No Hazard,ASSIST,None,1/3/2016 14:42,1/3/2016 14:42,1/3/2016 14:46,1/3/2016 15:17,0:04:12,0:35:28,C,4,1,4, $-   , $-   , $-   , $-   
16-0000071,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,1/3/2016 14:57,1/3/2016 14:56,1/3/2016 15:03,1/3/2016 15:17,0:06:30,0:20:55,C,4,1,4, $-   , $-   , $-   , $-   
16-0000072,215,"High school, junior high, middle school.",Educational,300,Medical,EMS,None,1/3/2016 15:01,1/3/2016 15:00,1/3/2016 15:05,1/3/2016 15:07,0:05:09,0:06:28,C,2,2,7, $-   , $-   , $-   , $-   
16-0000074,960,"Street, other.",Outside,324,Hazard,MVA,None,1/3/2016 15:41,1/3/2016 15:41,1/3/2016 15:45,1/3/2016 16:01,0:04:44,0:20:47,C,4,2,7, $-   , $-   , $-   , $-   
16-0000075,519,"Food and beverage sales, grocery store.",Business,331,No Hazard,ASSIST,None,1/3/2016 17:01,1/3/2016 17:00,1/3/2016 17:05,1/3/2016 17:09,0:05:54,0:09:28,C,1,1,4, $-   , $-   , $-   , $-   
16-0000076,419,1- or 2-family dwelling.,Residential,520,No Hazard,ASSIST,None,1/3/2016 18:08,1/3/2016 18:05,1/3/2016 18:13,1/3/2016 19:11,0:07:21,1:05:20,C,8,4,11, $-   , $-   , $-   , $-   
16-0000077,961,Highway or divided highway.,Outside,324,Hazard,MVA,Automatic Aid Given,1/3/2016 20:08,1/3/2016 20:07,1/3/2016 20:17,1/3/2016 22:44,0:09:42,2:37:10,C,MVFD,4,11, $-   , $-   , $-   , $-   
16-0000078,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,None,1/3/2016 21:31,1/3/2016 21:29,1/3/2016 21:35,1/3/2016 21:53,0:06:05,0:24:17,C,4,1,4, $-   , $-   , $-   , $-   
16-0000079,962,"Residential street, road.",Outside,413,Special Ops,HAZARDOUS MATERIAL,None,1/3/2016 21:49,1/3/2016 21:48,1/3/2016 21:51,1/3/2016 22:01,0:03:29,0:13:09,C,5,1,4, $-   , $-   , $-   , $-   
16-0000080,UUU,Undetermined.,Other,300,Medical,EMS,Automatic Aid Given,1/3/2016 21:52,1/3/2016 21:51,1/3/2016 21:58,1/3/2016 22:11,0:07:46,0:20:29,C,FWFD,2,7, $-   , $-   , $-   , $-   
16-0000081,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/3/2016 22:20,1/3/2016 22:19,1/3/2016 22:24,1/3/2016 22:43,0:05:17,0:24:04,C,1,1,3, $-   , $-   , $-   , $-   
16-0000082,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,1/3/2016 22:52,1/3/2016 22:50,1/3/2016 22:54,1/3/2016 23:08,0:04:07,0:17:58,C,CSFD,1,4, $-   , $-   , $-   , $-   
16-0000083,419,1- or 2-family dwelling.,Residential,341,Special Ops,TECH RESCUE,None,1/4/2016 3:35,1/4/2016 3:34,1/4/2016 3:43,1/4/2016 3:48,0:08:24,0:13:43,C,8,2,4, $-   , $-   , $-   , $-   
16-0000084,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/4/2016 6:11,1/4/2016 6:11,1/4/2016 6:17,1/4/2016 6:35,0:06:34,0:24:46,C,2,1,3, $-   , $-   , $-   , $-   
16-0000085,500,"Mercantile, business, other.",Business,745,No Hazard,ALARM,None,1/4/2016 9:18,1/4/2016 9:16,1/4/2016 9:21,1/4/2016 9:31,0:04:44,0:14:47,A,1,3,9, $-   , $-   , $-   , $-   
16-0000086,599,Business office.,Business,311,Medical,EMS,None,1/4/2016 10:23,1/4/2016 10:22,1/4/2016 10:30,1/4/2016 10:42,0:08:11,0:19:47,A,4,1,4, $-   , $-   , $-   , $-   
16-0000087,419,1- or 2-family dwelling.,Residential,735,No Hazard,ALARM,None,1/4/2016 10:30,1/4/2016 10:29,1/4/2016 10:36,1/4/2016 10:49,0:07:10,0:19:50,A,6,2,8, $-   , $-   , $-   , $-   
16-0000089,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 10:41,1/4/2016 10:40,1/4/2016 10:46,1/4/2016 10:58,0:05:20,0:17:24,A,4,1,4, $-   , $-   , $-   , $-   
16-0000090,500,"Mercantile, business, other.",Business,745,No Hazard,ALARM,None,1/4/2016 11:09,1/4/2016 11:08,1/4/2016 11:12,1/4/2016 11:32,0:04:34,0:23:57,A,1,3,9, $-   , $-   , $-   , $-   
16-0000091,213,Elementary school.,Educational,321,Medical,EMS,None,1/4/2016 12:01,1/4/2016 12:00,1/4/2016 12:05,1/4/2016 12:20,0:04:51,0:19:43,A,2,1,4, $-   , $-   , $-   , $-   
16-0000092,215,"High school, junior high, middle school.",Educational,740,No Hazard,ALARM,None,1/4/2016 12:07,1/4/2016 12:05,1/4/2016 12:11,1/4/2016 12:22,0:05:46,0:16:36,A,8,4,12, $-   , $-   , $-   , $-   
16-0000093,599,Business office.,Business,735,No Hazard,ALARM,None,1/4/2016 12:43,1/4/2016 12:42,1/4/2016 12:49,1/4/2016 13:11,0:06:50,0:28:40,A,4,2,8, $-   , $-   , $-   , $-   
16-0000094,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 13:18,1/4/2016 13:17,1/4/2016 13:23,1/4/2016 13:35,0:05:59,0:18:03,A,1,1,4, $-   , $-   , $-   , $-   
16-0000095,110,"Fixed-use recreation places, other.",Assembly,321,Medical,EMS,Automatic Aid Given,1/4/2016 13:58,1/4/2016 13:57,1/4/2016 14:00,1/4/2016 14:13,0:03:56,0:16:33,A,MVFD,1,4, $-   , $-   , $-   , $-   
16-0000096,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 14:19,1/4/2016 14:18,1/4/2016 14:23,1/4/2016 14:49,0:05:03,0:30:59,A,1,1,4, $-   , $-   , $-   , $-   
16-0000097,419,1- or 2-family dwelling.,Residential,600,No Hazard,GOOD INTENT,Mutual Aid Received,1/4/2016 14:29,1/4/2016 14:28,1/4/2016 14:35,1/4/2016 14:45,0:06:31,0:17:01,A,3,1,4, $-   , $-   , $-   , $-   
16-0000100,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,1/4/2016 18:34,1/4/2016 18:33,1/4/2016 18:39,1/4/2016 18:49,0:05:55,0:15:50,A,7,1,3, $-   , $-   , $-   , $-   
16-0000101,100,"Assembly, other.",Assembly,321,Medical,EMS,None,1/4/2016 18:50,1/4/2016 18:49,1/4/2016 18:53,1/4/2016 19:03,0:04:35,0:14:07,A,4,1,4, $-   , $-   , $-   , $-   
16-0000102,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 19:11,1/4/2016 19:11,1/4/2016 19:14,1/4/2016 19:34,0:03:51,0:23:24,A,2,1,4, $-   , $-   , $-   , $-   
16-0000103,419,1- or 2-family dwelling.,Residential,442,Hazard,HAZARDOUS CONDITION,Automatic Aid Received,1/4/2016 19:57,1/4/2016 19:57,1/4/2016 20:02,1/4/2016 20:21,0:05:32,0:24:51,A,5,6,21, $-   , $-   , $-   , $-   
16-0000104,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 20:54,1/4/2016 20:54,1/4/2016 20:57,1/4/2016 21:09,0:03:39,0:15:37,A,9,1,5, $-   , $-   , $-   , $-   
16-0000105,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/4/2016 20:58,1/4/2016 20:57,1/4/2016 21:04,1/4/2016 21:23,0:06:58,0:25:52,A,8,1,4, $-   , $-   , $-   , $-   
16-0000106,311,"Nursing homes licensed by the State,.",Health Care or Detention,412,Special Ops,HAZARDOUS MATERIAL,None,1/4/2016 21:37,1/4/2016 21:36,1/4/2016 21:40,1/4/2016 22:43,0:03:42,1:06:35,A,3,5,18, $-   , $-   , $-   , $-   
16-0000107,419,1- or 2-family dwelling.,Residential,441,Hazard,HAZARDOUS CONDITION,None,1/4/2016 22:12,1/4/2016 22:11,1/4/2016 22:16,1/4/2016 22:33,0:05:00,0:21:20,A,4,2,8, $-   , $-   , $-   , $-   
16-0000108,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,1/5/2016 0:15,1/5/2016 0:14,1/5/2016 0:19,1/5/2016 1:05,0:04:34,0:50:10,A,4,1,4, $-   , $-   , $-   , $-   
16-0000110,419,1- or 2-family dwelling.,Residential,520,No Hazard,ASSIST,None,1/5/2016 0:42,1/5/2016 0:41,1/5/2016 0:46,1/5/2016 1:27,0:04:57,0:45:52,A,6,3,10, $-   , $-   , $-   , $-   
16-0000111,419,1- or 2-family dwelling.,Residential,116,Fire,STRUCTURE,Automatic Aid Received,1/5/2016 1:29,1/5/2016 1:28,1/5/2016 1:35,1/5/2016 2:18,0:06:58,0:49:58,A,4,6,23,"$342,257 ",$300 ,"$34,000 ", $-   
16-0000112,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,1/5/2016 2:34,1/5/2016 2:33,1/5/2016 2:39,1/5/2016 2:54,0:05:40,0:20:23,A,8,1,4, $-   , $-   , $-   , $-   
16-0000113,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/5/2016 4:29,1/5/2016 4:28,1/5/2016 4:34,1/5/2016 4:49,0:05:27,0:21:05,A,1,1,4, $-   , $-   , $-   , $-   
16-0000114,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/5/2016 5:10,1/5/2016 5:09,1/5/2016 5:15,1/5/2016 5:27,0:06:04,0:17:42,A,3,1,4, $-   , $-   , $-   , $-   
16-0000115,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/5/2016 8:04,1/5/2016 8:03,1/5/2016 8:07,1/5/2016 8:59,0:04:19,0:56:22,C,6,2,8, $-   , $-   , $-   , $-   
16-0000116,963,Street or road in commercial area.,Outside,324,Hazard,MVA,None,1/5/2016 9:06,1/5/2016 9:06,1/5/2016 9:10,1/5/2016 9:25,0:04:43,0:19:44,C,1,2,7, $-   , $-   , $-   , $-   
16-0000117,311,"Nursing homes licensed by the State,.",Health Care or Detention,311,Medical,EMS,None,1/5/2016 10:08,1/5/2016 10:08,1/5/2016 10:16,1/5/2016 10:20,0:08:21,0:12:21,C,3,1,4, $-   , $-   , $-   , $-   
16-0000118,419,1- or 2-family dwelling.,Residential,743,No Hazard,ALARM,None,1/5/2016 10:26,1/5/2016 10:24,1/5/2016 10:30,1/5/2016 10:44,0:05:49,0:19:34,C,5,2,8, $-   , $-   , $-   , $-   
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,1/5/2016 12:06,1/5/2016 12:04,1/5/2016 12:09,1/5/2016 12:43,0:04:27,0:39:03,C,2,6,18,"$13,000 ","$13,000 ","$1,000 ","$1,000 "
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,1/5/2016 12:06,1/5/2016 12:04,1/5/2016 12:09,1/5/2016 12:43,0:04:27,0:39:03,C,2,6,18,"$20,000 ","$1,000 ", $-   , $-   
16-0000119,965,Vehicle parking area.,Outside,131,Fire,VEHICLE,None,1/5/2016 12:06,1/5/2016 12:04,1/5/2016 12:09,1/5/2016 12:43,0:04:27,0:39:03,C,2,6,18,"$19,000 ","$5,000 ", $-   , $-   
